image_id,label
0,7
1,6
2,3
3,8
4,1
5,5
6,0
7,1
8,0
9,4
10,2
11,9
12,5
13,5
14,6
15,9
16,3
17,2
18,1
19,1
20,5
21,8
22,0
23,7
24,9
25,8
26,3
27,6
28,8
29,9
30,4
31,8
32,0
33,1
34,0
35,0
36,5
37,4
38,8
39,2
40,4
41,6
42,3
43,4
44,2
45,0
46,3
47,3
48,7
49,6
50,9
51,6
52,0
53,9
54,7
55,6
56,8
57,1
58,3
59,6
60,0
61,5
62,4
63,2
64,9
65,8
66,0
67,8
68,9
69,2
70,5
71,1
72,8
73,7
74,1
75,5
76,9
77,1
78,8
79,0
80,2
81,2
82,5
83,3
84,1
85,9
86,2
87,1
88,4
89,7
90,3
91,8
92,1
93,2
94,3
95,2
96,0
97,5
98,3
99,8
100,4
101,8
102,8
103,0
104,9
105,2
106,7
107,3
108,2
109,6
110,7
111,7
112,0
113,7
114,9
115,6
116,2
117,3
118,8
119,0
120,4
121,4
122,5
123,7
124,3
125,5
126,5
127,9
128,9
129,7
130,1
131,8
132,2
133,1
134,6
135,3
136,8
137,0
138,5
139,7
140,6
141,5
142,4
143,1
144,7
145,6
146,4
147,5
148,4
149,9
150,6
151,9
152,4
153,5
154,5
155,2
156,6
157,7
158,7
159,8
160,0
161,4
162,6
163,0
164,3
165,5
166,8
167,8
168,1
169,6
170,6
171,5
172,9
173,6
174,7
175,8
176,5
177,6
178,3
179,4
180,0
181,7
182,2
183,5
184,4
185,8
186,8
187,1
188,5
189,2
190,0
191,5
192,2
193,6
194,1
195,4
196,2
197,7
198,0
199,4
200,9
201,0
202,7
203,2
204,3
205,5
206,7
207,2
208,4
209,2
210,8
211,3
212,3
213,8
214,2
215,7
216,6
217,9
218,2
219,2
220,2
221,9
222,6
223,0
224,4
225,0
226,5
227,9
228,8
229,2
230,7
231,6
232,2
233,9
234,6
235,1
236,1
237,7
238,4
239,1
240,8
241,3
242,5
243,8
244,1
245,2
246,9
247,1
248,5
249,6
250,2
251,2
252,8
253,0
254,3
255,7
256,0
257,9
258,7
259,5
260,0
261,2
262,3
263,9
264,7
265,3
266,6
267,4
268,1
269,7
270,3
271,6
272,0
273,6
274,1
275,3
276,9
277,5
278,6
279,7
280,2
281,9
282,6
283,2
284,8
285,6
286,5
287,0
288,6
289,1
290,1
291,4
292,3
293,5
294,3
295,9
296,6
297,7
298,9
299,1
300,8
301,2
302,8
303,5
304,9
305,2
306,9
307,8
308,4
309,5
310,9
311,5
312,0
313,3
314,1
315,9
316,5
317,6
318,8
319,0
320,7
321,1
322,0
323,5
324,1
325,2
326,0
327,6
328,3
329,4
330,1
331,5
332,0
333,2
334,9
335,5
336,4
337,6
338,5
339,0
340,3
341,7
342,2
343,0
344,2
345,9
346,1
347,2
348,0
349,6
350,9
351,8
352,0
353,9
354,6
355,2
356,5
357,2
358,2
359,0
360,3
361,1
362,3
363,2
364,4
365,8
366,7
367,3
368,3
369,2
370,3
371,3
372,8
373,3
374,3
375,7
376,8
377,3
378,5
379,2
380,4
381,4
382,0
383,0
384,3
385,0
386,0
387,8
388,7
389,0
390,4
391,1
392,6
393,5
394,7
395,3
396,4
397,2
398,6
399,8
400,3
401,3
402,1
403,2
404,9
405,9
406,7
407,1
408,6
409,9
410,8
411,0
412,4
413,9
414,7
415,0
416,8
417,5
418,5
419,7
420,4
421,3
422,9
423,0
424,8
425,7
426,1
427,8
428,9
429,1
430,9
431,5
432,4
433,3
434,1
435,0
436,3
437,4
438,5
439,3
440,0
441,2
442,9
443,6
444,0
445,2
446,3
447,3
448,2
449,5
450,2
451,0
452,6
453,5
454,2
455,4
456,6
457,8
458,2
459,6
460,9
461,7
462,1
463,8
464,4
465,8
466,5
467,0
468,6
469,3
470,0
471,4
472,9
473,6
474,8
475,3
476,6
477,6
478,0
479,1
480,0
481,3
482,5
483,6
484,1
