image_id,label
0,7
1,4
2,3
3,8
4,1
5,5
6,0
7,1
8,0
9,2
10,2
11,5
12,5
13,5
14,6
15,9
16,3
17,5
18,1
19,1
20,5
21,5
22,0
23,7
24,9
25,8
26,3
27,6
28,5
29,9
30,2
31,8
32,0
33,5
34,6
35,5
36,5
37,4
38,8
39,3
40,4
41,2
42,3
43,4
44,2
45,0
46,3
47,3
48,5
49,6
50,5
51,6
52,3
53,9
54,7
55,6
56,8
57,1
58,3
59,6
60,3
61,5
62,4
63,2
64,9
65,5
66,3
67,8
68,9
69,2
70,5
71,1
72,5
73,7
74,1
75,5
76,9
77,1
78,8
79,3
80,2
81,2
82,5
83,3
84,1
85,5
86,6
87,1
88,4
89,7
90,3
91,8
92,1
93,3
94,5
95,2
96,0
97,7
98,5
99,8
100,4
101,8
102,8
103,0
104,9
105,3
106,7
107,3
108,2
109,3
110,7
111,5
112,0
113,7
114,9
115,6
116,2
117,3
118,8
119,5
120,4
121,6
122,5
123,7
124,3
125,5
126,5
127,9
128,9
129,5
130,1
131,8
132,2
133,1
134,6
135,3
136,6
137,0
138,5
139,5
140,2
141,5
142,3
143,1
144,5
145,6
146,4
147,5
148,2
149,9
150,6
151,5
152,4
153,5
154,5
155,2
156,2
157,7
158,7
159,8
160,3
161,4
162,4
163,0
164,3
165,5
166,8
167,8
168,1
169,3
170,5
171,7
172,5
173,6
174,7
175,8
176,7
177,3
178,5
179,4
180,0
181,5
182,2
183,5
184,4
185,8
186,8
187,1
188,5
189,3
190,5
191,5
192,2
193,3
194,1
195,6
196,2
197,7
198,3
199,4
200,5
201,0
202,5
203,2
204,3
205,5
206,7
207,6
208,4
209,2
210,3
211,9
212,5
213,8
214,2
215,7
216,6
217,9
218,6
219,2
220,2
221,9
222,6
223,0
224,5
225,0
226,5
227,5
228,8
229,3
230,7
231,5
232,5
233,9
234,3
235,1
236,3
237,5
238,4
239,1
240,8
241,3
242,5
243,8
244,1
245,3
246,9
247,1
248,5
249,6
250,2
251,6
252,8
253,0
254,3
255,7
256,0
257,9
258,5
259,5
260,0
261,2
262,6
263,5
264,7
265,3
266,5
267,4
268,1
269,5
270,3
271,5
272,0
273,6
274,5
275,3
276,5
277,5
278,3
279,9
280,2
281,9
282,5
283,2
284,2
285,6
286,5
287,3
288,6
289,1
290,1
291,6
292,3
293,5
294,3
295,9
296,6
297,7
298,5
299,1
300,8
301,6
302,2
303,5
304,5
305,2
306,5
307,8
308,6
309,5
310,9
311,5
312,5
313,3
314,1
315,5
316,5
317,6
318,8
319,0
320,7
321,1
322,6
323,5
324,5
325,2
326,0
327,6
328,3
329,4
330,1
331,5
332,0
333,5
334,9
335,5
336,4
337,5
338,5
339,3
340,3
